LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2600 ? ID2602,20,2600,2602,-1.0,1.7499127412059674E-4,0.026493151134099932,11.103681629886971,19069.74038696289,1077.3742837760497,700.0654075709263,0.0,
ID2600 ? ID2604,20,2600,2604,-1.0,0.006744412104632732,0.018640516090121285,7.812523132255329,19069.74038696289,1077.3742837760497,709.4566973154169,0.0,
ID2659 ? ID2666,20,2659,2666,-1.0,0.0016411635489409742,0.04117824595241499,17.25842769017713,236590.5153503418,1532.023193171096,630.4593776999958,0.0,
ID2604 ? ID2629,20,2604,2629,-1.0,2.4085884600766916E-5,6.568718774537111E-4,40.74513567559995,50293.82080078125,1058.039275478569,717.7431294429086,0.0,
ID2621 ? ID2625,20,2621,2625,-1.0,0.001091372283161631,0.011184309654072886,4.687513879353245,206833.3380432129,1133.7220222429935,533.7843362125923,0.0,
ID2621 ? ID2623,20,2621,2623,-1.0,0.004768265589438425,0.026493151134099956,11.103681629886982,206833.3380432129,1126.5404477325005,535.99405144659,0.0,
ID2666 ? ID2675,20,2666,2675,-1.0,2.662062349542942E-5,0.0015913417262881284,168.07277679095614,289608.58477783203,1465.731736151162,667.4721078694588,0.0,
ID2631 ? ID2645,20,2631,2645,-1.0,1.030075733831026E-5,0.0013578819714987786,353.98575934877033,212072.27770996094,1123.7783036900034,872.9756246312538,0.0,
ID2625 ? ID2640,20,2625,2640,-1.0,2.2855237761066956E-5,0.00169861353481476,229.9484500642576,274729.9961242676,1050.3052721595768,609.4670829770166,0.0,
ID2629 ? ID2631,20,2629,2631,-1.0,0.0019247013726401661,0.009504835528696857,3.9836207901764884,81517.90121459961,1036.4945519470905,721.0577022939053,0.0,
ID2633 ? ID2659,20,2633,2659,-1.0,1.0456412485621356E-5,0.003207184606061257,496.00232114572736,159054.2082824707,1282.8778005378447,683.4925433159428,0.0,
ID2759 ? ID2761,25,2759,2761,-1.0,0.0011581807783370038,0.018640516090121476,7.812523132255409,321251.78036499023,855.2979027592713,240.99706770788447,0.0,
